group|smarts|contribute|composed|subgroup_number|main_group|R|Q|molecular_weight
C5H3N|[$([n](:[cH]:[cH]1):[cH0]:[cH0]:[cH]:1),$([n](:[cH]:[cH]1):[cH0]:[cH]:[cH0]:1),$([n](:[cH]:[cH0]1):[cH0]:[cH]:[cH]:1),$([n](:[cH0]:[cH]1):[cH0]:[cH]:[cH]:1),$([n](:[cH]:[cH]1):[cH]:[cH0]:[cH0]:1)]|"{""C5H3N"": 1, ""ACH"": -3, ""AC"": -2}"|n|39|18|2.667|1.553|77.086
CH3CN|[CH3][C]#[N]|"{""CH3CN"": 1, ""CH3"": -1}"|n|40|19|1.8701|1.724|41.053
CH2CN|[CH2][C]#[N]|"{""CH2CN"": 1, ""CH2"": -1}"|n|41|19|1.6434|1.416|40.045
COOH|[C](*)(=O)(-[OH])|"{""COOH"": 1, ""OH"": -1}"|n|42|20|1.3013|1.224|45.017
HCOOH|[CH](=O)(-[OH])|"{""HCOOH"": 1, ""OH"": -1}"|n|43|20|1.528|1.532|46.025
CH2CL|[CH2](Cl)([!Cl])|"{""CH2CL"": 1, ""CH2"": -1}"|n|44|21|1.4654|1.264|49.48
CHCL|[CH](Cl)([!Cl])([!Cl])|"{""CHCL"": 1, ""CH"": -1}"|n|45|21|1.238|0.952|48.472
CCL|[CH0](Cl)([!Cl])([!Cl])([!Cl])|"{""CCL"": 1, ""C"": -1}"|n|46|21|1.0106|0.724|47.464
CH2CL2|[CH2](Cl)(Cl)|"{""CH2CL2"": 1, ""CH2"": -1}"|n|47|22|2.2564|1.988|84.933
CHCL2|[CH](Cl)(Cl)([!Cl])|"{""CHCL2"": 1, ""CH"": -1}"|n|48|22|2.0606|1.684|83.925
CCL2|[CH0](Cl)(Cl)([!Cl])([!Cl])|"{""CCL2"": 1, ""C"": -1}"|n|49|22|1.8016|1.448|82.917
CHCL3|[CH](Cl)(Cl)(Cl)|"{""CHCL3"": 1, ""CH"": -1}"|n|50|23|2.87|2.41|119.378
CCL3|[CH0](Cl)(Cl)(Cl)([!Cl])|"{""CCL3"": 1, ""C"": -1}"|n|51|23|2.6401|2.184|118.37
CCL4|[CH0](Cl)(Cl)(Cl)(Cl)|"{""CCL4"": 1, ""C"": -1}"|n|52|24|3.39|2.91|153.823
ACCL|[cH0](Cl)|"{""ACCL"": 1, ""AC"": -1}"|n|53|25|1.1562|0.844|47.464
CH3NO2|[CH3]N(=O)(O)|"{""CH3NO2"": 1, ""CH3"": -1}"|n|54|26|2.0086|1.868|61.04
CH2NO2|[CH2]N(=O)(O)|"{""CH2NO2"": 1, ""CH2"": -1}"|n|55|26|1.7818|1.56|60.032
CHNO2|[CH]N(=O)(O)|"{""CHNO2"": 1, ""CH"": -1}"|n|56|26|1.5544|1.248|59.024
ACNO2|[cH0]N(=O)(O)|"{""ACNO2"": 1, ""AC"": -1}"|n|57|27|1.4199|1.104|58.016
CS2|C(=S)(=S)|"{""CS2"": 1}"|n|58|28|2.057|1.65|76.141
CH3SH|[CH3][SH]|"{""CH3SH"": 1, ""CH3"": -1}"|n|59|29|1.877|1.676|48.1072
CH2SH|[CH2][SH]|"{""CH2SH"": 1, ""CH2"": -1}"|n|60|29|1.651|1.368|47.0994
FURFURAL|c1coc(c1)[CH]=O|"{""FURFURAL"": 1, ""ACH"": -3, ""HCO"": -1, ""CH"": 1, ""AC"": -1}"|n|61|30|3.168|2.484|96.0842
DOH|[CH2]([OH])[CH2][OH]|"{""DOH"": 1, ""CH2"": -2, ""OH"": -2}"|n|62|31|2.4088|2.248|62.0668
I|[I][#6,Si]|"{""I"": 1}"|n|63|32|1.264|0.992|126.9
BR|[Br][#6,Si]|"{""BR"": 1}"|n|64|33|0.9492|0.832|79.904
CH=-C|[CH]#[C][*]|"{""CH=-C"": 1}"|n|65|34|1.292|1.088|25.0298
C=-C|[*][CH0]#[CH0][*]|"{""C=-C"": 1}"|n|66|34|1.0613|0.784|24.022
DMSO|[CH3][S](=O)[CH3]|"{""DMSO"": 1, ""CH3"": -1, ""CH3S"": -1}"|n|67|35|2.8266|2.472|78.1328
ACRY|[CH2]=[CH]-C#N|"{""ACRY"": 1, ""CH2=CH"": -1}"|n|68|36|2.3144|2.052|53.0634
CL-(C=C)|Cl[C]=[C]|"{""CL-(C=C)"": 1}"|n|69|37|0.791|0.724|35.453
C=C|[CH0]=[CH0]|"{""C=C"": 1}"|n|70|2|0.6605|0.485|24.022
ACF|[cH0]F|"{""ACF"": 1, ""AC"": -1}"|n|71|38|0.6948|0.524|31.009
DMF|[CH3]N([CH3])[CH]=O|"{""DMF"": 1, ""CH3"": -2}"|n|72|39|3.0856|2.736|73.0936
HCON(CH2)2|[*][CH2]N([CH2][*])[CH]=O|"{""HCON(CH2)2"": 1, ""CH2"": -2}"|n|73|39|2.6322|2.12|71.078
CF3|[CH0](F)(F)(F)[!F]|"{""CF3"": 1, ""C"": -1}"|n|74|40|1.406|1.38|69.005
CF2|[CH0](F)(F)([!F])[!F]|"{""CF2"": 1, ""C"": -1}"|n|75|40|1.0105|0.92|50.007
CF|[CH0](F)([!F])([!F])[!F]|"{""CF"": 1, ""C"": -1}"|n|76|40|0.615|0.46|31.009
COO|[C](*)(=O)[OH0][#6,Si]|"{""COO"": 1}"|n|77|41|1.38|1.2|44.009
SIH3|[SiX4H3]|"{""SIH3"": 1}"|n|78|42|1.6035|1.2632|31.1094
SIH2|[SiX4H2]|"{""SIH2"": 1}"|n|79|42|1.4443|1.0063|30.1016
SIH|[SiX4H]|"{""SIH"": 1}"|n|80|42|1.2853|0.7494|29.0938
SI|[SiX4H0]|"{""SI"": 1}"|n|81|42|1.047|0.4099|28.086
SIH2O|[SiX4H2]O[Si,CH0;!$([CH](=O));!$(C(=O)[!O])]|"{""SIH2O"": 1, ""SIH2"": -1}"|n|82|43|1.4838|1.0621|46.1006
SIHO|[SiX4H]O[Si,CH0;!$([SiH2]);!$([CH](=O));!$(C(=O)[!O])]|"{""SIHO"": 1, ""SIH"": -1}"|n|83|43|1.303|0.7639|45.0928
SIO|[SiX4H0]O[Si,CH0;!$([SiH]);!$([SiH2]);!$([CH](=O));!$(C(=O)[!O])]|"{""SIO"": 1, ""SI"": -1}"|n|84|43|1.1044|0.4657|44.085
NMP|[CH2]1N([CH3])[C](=O)[CH2][CH2]1|"{""NMP"": 1, ""CH2"": -2, ""AMCH3CH2"": -1}"|n|85|44|3.981|3.2|99.1312
CCL3F|[CH0](Cl)(Cl)(Cl)(F)|"{""CCL3F"": 1, ""CCL3"": -1, ""CF"": -1, ""C"": 1}"|n|86|45|3.0356|2.644|137.368
CCL2F|[CH0](Cl)(Cl)(F)([!Cl&!F])|"{""CCL2F"": 1, ""CCL2"": -1, ""CF"": -1, ""C"": 1}"|n|87|45|2.2287|1.916|101.915
HCCL2F|[CH](Cl)(Cl)(F)|"{""HCCL2F"": 1, ""CHCL2"": -1}"|n|88|45|2.406|2.116|102.9228
HCCLF|[CH](Cl)(F)([!Cl&!F])|"{""HCCLF"": 1, ""CHCL"": -1}"|n|89|45|1.6493|1.416|67.4698
CCLF2|[CH0](Cl)(F)(F)([!Cl&!F])|"{""CCLF2"": 1, ""CCL"": -1, ""CF2"": -1, ""C"": 1}"|n|90|45|1.8174|1.648|85.46
HCCLF2|[CH](Cl)(F)(F)|"{""HCCLF2"": 1, ""CHCL"": -1}"|n|91|45|1.967|1.828|86.4678
CCLF3|[CH0](Cl)(F)(F)(F)|"{""CCLF3"": 1, ""CCL"": -1, ""CF3"": -1, ""C"": 1}"|n|92|45|2.1721|2.1|104.458
CCL2F2|[CH0](Cl)(Cl)(F)(F)|"{""CCL2F2"": 1, ""CCL2"": -1, ""CF2"": -1, ""C"": 1}"|n|93|45|2.6243|2.376|120.913
AMH2|[CH0](=O)([NH2])([!O])|"{""AMH2"": 1}"|n|94|46|1.4515|1.248|44.0326
AMHCH3|[CH0](=O)([NH][CH3])([!O])|"{""AMHCH3"": 1, ""CH3"": -1}"|n|95|46|2.1905|1.796|58.0592
AMHCH2|[CH0](=O)([NH][CH2])([!O])|"{""AMHCH2"": 1, ""CH2"": -1}"|n|96|46|1.9637|1.488|57.0514
AM(CH3)2|[CH0](=O)([N]([CH3])[CH3])([!O])|"{""AM(CH3)2"": 1, ""CH3"": -2}"|n|97|46|2.8589|2.428|72.0858
AMCH3CH2|[CH0](=O)([N]([CH3])[CH2])([!O])|"{""AMCH3CH2"": 1, ""CH3"": -1, ""CH2"": -1}"|n|98|46|2.6322|2.12|71.078
AM(CH2)2|[CH0](=O)([N]([CH2])[CH2])([!O])|"{""AM(CH2)2"": 1, ""CH2"": -2}"|n|99|46|2.4054|1.812|70.0702
C2H5O2|[OH][CH2][CH2]O[#6,Si]|"{""C2H5O2"": 1, ""OH"": -1, ""CH2"": -1, ""CH2O"": -1}"|n|100|47|2.1226|1.904|61.059
C2H4O2|[OH][CH2][CH]O[#6,Si]|"{""C2H4O2"": 1, ""OH"": -1, ""CH"": -1, ""CH2O"": -1}"|n|101|47|1.8952|1.592|60.0512
CH3S|[CH3][S][#6,Si]|"{""CH3S"": 1, ""CH3"": -1}"|n|102|48|1.613|1.368|47.0994
CH2S|[CH2][S][$([#6,Si])&!$([CH3])]|"{""CH2S"": 1, ""CH2"": -1}"|n|103|48|1.3863|1.06|46.0916
CHS|[CH][S][$([#6,Si])&!$([CH3])&!$([CH2])]|"{""CHS"": 1, ""CH"": -1}"|n|104|48|1.1589|0.748|45.0838
MORPH|[CH2]1O[CH2][CH2][NH][CH2]1|"{""MORPH"": 1, ""CH2"": -2, ""CH2O"": -1, ""CH2NH"": -1}"|n|105|49|3.474|2.796|87.1202
C4H4S|[s](:[cH]:[cH]1):[cH]:[cH]:1|"{""C4H4S"": 1, ""ACH"": -4}"|n|106|50|2.8569|2.14|84.1402
C4H3S|[$([s](:[cH0]:[cH]1):[cH]:[cH]:1),$([s](:[cH]:[cH0]1):[cH]:[cH]:1)]|"{""C4H3S"": 1, ""ACH"": -3, ""AC"": -1}"|n|107|50|2.6908|1.86|83.1324
C4H2S|[$([s](:[cH]:[cH]1):[cH0]:[cH0]:1),$([s](:[cH]:[cH0]1):[cH0]:[cH]:1),$([s](:[cH0]:[cH]1):[cH0]:[cH]:1),$([s](:[cH]:[cH0]1):[cH]:[cH0]:1)]|"{""C4H2S"": 1, ""ACH"": -2, ""AC"": -2}"|n|108|50|2.5247|1.58|82.1246
H2C=CH2|[CH2]=[CH2]|"{""H2C=CH2"": 1}"|n|109|2|1.3564|1.3098|28.0532
CH=-CH|[CH]#[CH]|"{""CH=-CH"": 1}"|n|110|34|0.791|0.72|26.0376
NH3|[NH3]|"{""NH3"": 1}"|n|111|55|0.851|0.778|17.0304
CO|[CH0]#[O]|"{""CO"": 1}"|n|112|63|0.711|0.828|28.01
? H2|[H]-[H]|"{""H2"": 1}"|n|113|62|0.416|0.571|2.0156
H2S|[SH2]|"{""H2S"": 1}"|n|114|61|1.235|1.202|34.0806
N2|N#N|"{""N2"": 1}"|n|115|60|0.856|0.93|28.014
AR|[Ar]|"{""AR"": 1}"|n|116|59|1.177|1.116|39.948
CO2|[CH0](=O)=O|"{""CO2"": 1}"|n|117|56|1.3|0.982|44.009
CH4|[CH4]|"{""CH4"": 1}"|n|118|57|1.1292|1.124|16.0422
O2|[OX1]=[OX1]|"{""O2"": 1}"|n|119|58|0.733|0.849|31.998
? D2|[2H][2H]|"{""D2"": 1}"|n|120|62|0.37|0.527|4.02820356
SO2|[S](=O)=O|"{""SO2"": 1}"|n|121|65|1.343|1.164|64.063
NO|[NX1]=[OX1]|"{""NO"": 1}"|n|122|66|0.716|0.62|30.006
N2O|[N]=[N]=[O]|"{""N2O"": 1}"|n|123|67|0.98|0.888|44.013
SF6|[S]([F])([F])([F])([F])([F])[F]|"{""SF6"": 1}"|n|124|68|2.374|2.056|146.053
HE|[He]|"{""HE"": 1}"|n|125|69|0.885|0.985|4.0026
NE|[Ne]|"{""NE"": 1}"|n|126|70|0.886|0.986|20.18
KR|[Kr]|"{""KR"": 1}"|n|127|71|1.12|1.12|83.798
XE|[Xe]|"{""XE"": 1}"|n|128|72|1.13|1.13|131.29
HF|[FH]|"{""HF"": 1}"|n|129|73|1.016|1.216|20.0058
HCL|[ClH]|"{""HCL"": 1}"|n|130|74|1.056|1.256|36.4608
HBR|[BrH]|"{""HBR"": 1}"|n|131|75|1.058|1.258|80.9118
HI|[IH]|"{""HI"": 1}"|n|132|76|1.393|1.208|127.9078
COS|O=C=S|"{""COS"": 1}"|n|133|77|1.6785|1.316|60.075
CHSH|[CH][SH]|"{""CHSH"": 1, ""CH"": -1}"|n|134|29|1.425|1.06|46.0916
CSH|[CH0][SH]|"{""CSH"": 1, ""C"": -1}"|n|135|29|1.199|0.752|45.0838
H2COCH|[CH2]([O]1)[CH]1|"{""H2COCH"": 1, ""CH2O"": -1, ""CH"": -1}"|n|136|51|1.3652|1.008|43.0444
HCOCH|[CH]([O]1)[CH]1|"{""HCOCH"": 1, ""CHO"": -1, ""CH"": -1}"|n|137|51|1.1378|0.696|42.0366
HCOC|[CH0]([O]1)[CH]1|"{""HCOC"": 1, ""CHO"": -1, ""C"": -1}"|n|138|51|0.9104|0.468|41.0288
H2COCH2|[CH2]([O]1)[CH2]1|"{""H2COCH2"": 1, ""CH2"": -1, ""CH2O"": -1}"|n|139|51|1.5926|1.32|44.0522
H2COC|[CH2]([O]1)[CH0]1|"{""H2COC"": 1, ""CH2O"": -1, ""C"": -1}"|n|140|51|1.1378|0.78|42.0366
COC|[CH0]([O]1)[CH0]1|"{""COC"": 1, ""C"": -2}"|n|141|51|0.6829|0.24|40.021
F2|[F][F]|"{""F2"": 1}"|n|142|78|0.75|0.88|37.996
CL2|[Cl][Cl]|"{""CL2"": 1}"|n|143|79|1.53|1.44|70.906
BR2|[Br][Br]|"{""BR2"": 1}"|n|144|80|1.9|1.66|159.808
HCN|[CH]#N|"{""HCN"": 1}"|n|145|81|1.2|1.19|27.0258
NO2|[O][NX2]=[O]|"{""NO2"": 1}"|n|146|82|1|1.1|46.005
CF4|C(F)(F)(F)F|"{""CF4"": 1, ""C"": -1}"|n|147|83|1.78|1.82|88.003
O3|[O-][O+]=O|"{""O3"": 1}"|n|148|84|1.1|1.27|47.997
CLNO|[Cl][N]=O|"{""CLNO"": 1}"|n|149|85|1.48|1.34|65.459
CNH2|[NH2][CH0;!$([CH0]=O)]|"{""CNH2"": 1, ""C"": -1}"|n|152|14|0.9147|0.614|28.0336
