Clapeyron Database File,,,,,
Critical Single Parameters,,,,,
species,CAS,Tc,Pc,Vc,acentricfactor
limonene,,657.4486692170663,2755561.066677689,0.0004965,0.3219127551737521
octanoic acid,,713.0557338888693,2778851.495119364,0.0005075,0.7923588440050965
ethanol,,499.40737356625846,5756641.437226128,0.00016649999999999998,0.5610678012451401
acetic acid,,587.5519968560475,5730524.383094724,0.0001715,0.482486676605204
