group|smarts|true_smarts|contribute|composed|molecular_weight|subgroup_number|main_group|R|Q
COOH|[CH0](*)(=O)(-[OH])|[CH0](=O)(-[OH])|"{""COOH"": 1, ""OH"": -1}"|n|45.017|42|20|1.3013|1.224
HCOOH|[CH](=O)(-[OH])||"{""HCOOH"": 1, ""OH"": -1}"|n|46.025|43|20|1.528|1.532
CH2CL|[CH2](Cl)([!Cl])|[CH2][Cl]|"{""CH2CL"": 1, ""CH2"": -1}"|n|49.48|44|21|1.4654|1.264
CHCL|[CH](Cl)([!Cl])([!Cl])|[CH][Cl]|"{""CHCL"": 1, ""CH"": -1}"|n|48.472|45|21|1.238|0.952
CCL|[CH0](Cl)([!Cl])([!Cl])([!Cl])|[CH0][Cl]|"{""CCL"": 1, ""C"": -1}"|n|47.464|46|21|1.0106|0.724
CH2CL2|[CH2](Cl)(Cl)||"{""CH2CL2"": 1, ""CH2"": -1}"|n|84.933|47|22|2.2564|1.988
CHCL2|[CH](Cl)(Cl)([!Cl])|[CH](Cl)(Cl)|"{""CHCL2"": 1, ""CH"": -1}"|n|83.925|48|22|2.0606|1.684
CCL2|[CH0](Cl)(Cl)([!Cl])([!Cl])|[CH0](Cl)(Cl)|"{""CCL2"": 1, ""C"": -1}"|n|82.917|49|22|1.8016|1.448
CHCL3|[CH](Cl)(Cl)(Cl)||"{""CHCL3"": 1, ""CH"": -1}"|n|119.378|50|23|2.87|2.41
CCL3|[CH0](Cl)(Cl)(Cl)([!Cl])|[CH0](Cl)(Cl)(Cl)|"{""CCL3"": 1, ""C"": -1}"|n|118.37|51|23|2.6401|2.184
CCL4|[CH0](Cl)(Cl)(Cl)(Cl)||"{""CCL4"": 1, ""C"": -1}"|n|153.823|52|24|3.39|2.91
ACCL|[cH0](Cl)||"{""ACCL"": 1, ""AC"": -1}"|n|47.464|53|25|1.1562|0.844
CH3NO2|[CH3]N(=O)(O)||"{""CH3NO2"": 1, ""CH3"": -1}"|n|61.04|54|26|2.0086|1.868
CH2NO2|[CH2]N(=O)(O)||"{""CH2NO2"": 1, ""CH2"": -1}"|n|60.032|55|26|1.7818|1.56
CHNO2|[CH]N(=O)(O)||"{""CHNO2"": 1, ""CH"": -1}"|n|59.024|56|26|1.5544|1.248
ACNO2|[cH0]N(=O)(O)||"{""ACNO2"": 1, ""AC"": -1}"|n|58.016|57|27|1.4199|1.104
CS2|C(=S)(=S)||"{""CS2"": 1}"|n|76.141|58|28|2.057|1.65
CH3SH|[CH3][SH]||"{""CH3SH"": 1, ""CH3"": -1}"|n|48.1072|59|29|1.877|1.676
CH2SH|[CH2][SH]||"{""CH2SH"": 1, ""CH2"": -1}"|n|47.0994|60|29|1.651|1.368
FURFURAL|c1coc(c1)[CH]=O||"{""FURFURAL"": 1, ""ACH"": -3, ""HCO"": -1, ""CH"": 1, ""AC"": -1}"|n|96.0842|61|30|3.168|2.484
DOH|[CH2]([OH])[CH2][OH]||"{""DOH"": 1, ""CH2"": -2, ""OH"": -2}"|n|62.0668|62|31|2.4088|2.248
I|[I][#6,Si]|[I]|"{""I"": 1}"|n|126.9|63|32|1.264|0.992
BR|[Br][#6,Si]|[Br]|"{""BR"": 1}"|n|79.904|64|33|0.9492|0.832
CH=-C|[CH]#[C][*]|[CH]#[C]|"{""CH=-C"": 1}"|n|25.0298|65|34|1.292|1.088
C=-C|[*][CH0]#[CH0][*]|[CH0]#[CH0]|"{""C=-C"": 1}"|n|24.022|66|34|1.0613|0.784
DMSO|[CH3][S](=O)[CH3]||"{""DMSO"": 1, ""CH3"": -1, ""CH3S"": -1}"|n|78.1328|67|35|2.8266|2.472
ACRY|[CH2]=[CH]-C#N||"{""ACRY"": 1, ""CH2=CH"": -1}"|n|53.0634|68|36|2.3144|2.052
CL-(C=C)|Cl[C]=[C]||"{""CL-(C=C)"": 1}"|n|35.453|69|37|0.791|0.724
C=C|[CH0]=[CH0]||"{""C=C"": 1}"|n|24.022|70|2|0.6605|0.485
ACF|[cH0]F||"{""ACF"": 1, ""AC"": -1}"|n|31.009|71|38|0.6948|0.524
DMF|[CH3]N([CH3])[CH]=O||"{""DMF"": 1, ""CH3"": -2}"|n|73.0936|72|39|3.0856|2.736
HCON(CH2)2|[*][CH2]N([CH2][*])[CH]=O|[CH2]N([CH2])[CH]=O|"{""HCON(CH2)2"": 1, ""CH2"": -2}"|n|71.078|73|39|2.6322|2.12
CF3|[CH0](F)(F)(F)[!F]|[CH0](F)(F)(F)|"{""CF3"": 1, ""C"": -1}"|n|69.005|74|40|1.406|1.38
CF2|[CH0](F)(F)([!F])[!F]|[CH0](F)(F)|"{""CF2"": 1, ""C"": -1}"|n|50.007|75|40|1.0105|0.92
CF|[CH0](F)([!F])([!F])[!F]|[CH0](F)|"{""CF"": 1, ""C"": -1}"|n|31.009|76|40|0.615|0.46
COO|[C](*)(=O)[OH0][#6,Si]|[C](=O)[OH0]|"{""COO"": 1}"|n|44.009|77|41|1.38|1.2
SIH3|[SiX4H3]||"{""SIH3"": 1}"|n|31.1094|78|42|1.6035|1.2632
SIH2|[SiX4H2]||"{""SIH2"": 1}"|n|30.1016|79|42|1.4443|1.0063
SIH|[SiX4H]||"{""SIH"": 1}"|n|29.0938|80|42|1.2853|0.7494
SI|[SiX4H0]||"{""SI"": 1}"|n|28.086|81|42|1.047|0.4099
SIH2O|[SiX4H2]O[Si,CH0;!$([CH](=O));!$(C(=O)[!O])]|[SiX4H2]O|"{""SIH2O"": 1, ""SIH2"": -1}"|n|46.1006|82|43|1.4838|1.0621
SIHO|[SiX4H]O[Si,CH0;!$([SiH2]);!$([CH](=O));!$(C(=O)[!O])]|[SiX4H]O|"{""SIHO"": 1, ""SIH"": -1}"|n|45.0928|83|43|1.303|0.7639
