group|smarts|molecular_weight
TRIOXAN|[CX4H2;R][OH0;R;$([OH0]1[CH2][OH0][CH2][OH0][CH2]1)]|30.026
CNH2|[CH0][NH2]|28.0336
NMP|[CX3H0;R](=O)[NH0;R][CH3]|57.0514
NEP|[CX3H0;R](=O)[NH0;R][CX4H2;!R]|56.0436
NIPP|[CX3H0;R](=O)[NH0;R][CX4H;!R]|55.0358
NTBP|[CX3H0;R](=O)[NH0;R][CX4H0;!R]|54.028
CONH2|[CH0](=O)[NH2]|44.0326
CONHCH3|[CH0](=O)[NH][CH3]|58.0592
HCONHCH3|[CH](=O)[NH][CH3]|59.067
HCONHCH2|[CH](=O)[NH][CH2]|58.0592
CONHCH2|[CH0](=O)[NH][CH2]|57.0514
AM(CH3)2|[CH0](=O)([N]([CH3])[CH3])|72.0858
AMCH3CH2|[CH0;!R](=O)([N;!R]([CH3])[CH2;!R])|71.078
AM(CH2)2|[CH0;!R](=O)([N;!R]([CH2;!R])[CH2;!R])|70.0702
AC2H2S|[cH][s][cH]|58.1026
AC2HS|[cH][s][cH0]|57.0948
AC2S|[cH0][s][cH0]|56.087
H2COCH|[CH2]([O]1)[CH]1|43.0444
? COCH||
HCOCH|[CH]([O]1)[CH]1|42.0366
(CH2)2SU|[CH2;R][S;R](=O)(=O)[CH2;R]|92.1162
CH2SUCH|[CH;R][S;R](=O)(=O)[CH2;R]|91.1084
(CH3)2CB|[CH3][O][CH0](=O)[O][CH3]|90.0768
(CH2)2CB|[CH2][O][CH0](=O)[O][CH2]|88.0612
CH2CH3CB|[CH2][O][CH0](=O)[O][CH3]|89.069
? H2COCH2||
CH3S|[CH3][SH0;!$([SH0][SH0])]|47.0994
CH2S|[CH2][SH0;!$([SH0][SH0])]|46.0916
CHS|[CH][SH0;!$([SH0][SH0])]|45.0838
? H2COC||
? C3H2N2+||
? BTI-||
? C3H3N2+||
? C4H8N+||
? BF4-||
? C5H5N+||
? OTF-||
-S-S-|[SH0][SH0]|64.13
? SO4||
? HSO4||
? PF6||
? C5H4N+||
